Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2014,21,TAM,NFL,WR,15,15,122,68,1051,15.5,12,46,46.7,56,4.5,70.1,55.7,8.6,0,0,0,0,,,0.0,0.0,68.0,15.5,1051.0,12,0,8.0,AP ORoY-3,
2015,22,TAM,NFL,WR,15,14,148,74,1206,16.3,3,63,48.0,68,4.9,80.4,50.0,8.1,0,0,0,0,,,0.0,0.0,74.0,16.3,1206.0,3,1,10.0,,
2016,23,TAM,NFL,WR,16,16,173,96,1321,13.8,12,82,53.2,45,6.0,82.6,55.5,7.6,0,0,0,0,,,0.0,0.0,96.0,13.8,1321.0,12,0,10.0,PBAP-2,
2017,24,TAM,NFL,WR,15,15,136,71,1001,14.1,5,55,50.0,42,4.7,66.7,52.2,7.4,0,0,0,0,,,0.0,0.0,71.0,14.1,1001.0,5,1,8.0,,
2018,25,TAM,NFL,WR,16,16,138,86,1524,17.7,8,68,61.6,72,5.4,95.3,62.3,11.0,0,0,0,0,,,0.0,0.0,86.0,17.7,1524.0,8,2,11.0,PB,
2019,26,TAM,NFL,WR,13,13,118,67,1157,17.3,8,54,55.1,67,5.2,89.0,56.8,9.8,0,0,0,0,,,0.0,0.0,67.0,17.3,1157.0,8,0,9.0,PB,
2020,27,TAM,NFL,WR,16,16,109,70,1006,14.4,13,55,58.7,50,4.4,62.9,64.2,9.2,0,0,0,0,,,0.0,0.0,70.0,14.4,1006.0,13,0,9.0,,
2021,28,TAM,NFL,WR,16,16,114,74,1035,14.0,14,56,59.6,46,4.6,64.7,64.9,9.1,1,10,0,1,100.0,10.0,10.0,0.6,0.1,75.0,13.9,1045,14,0.0,9,PB
2022,29,TAM,NFL,WR,15,15,127,77,1124,14.6,6,53,54.3,63,5.1,74.9,60.6,8.9,0,0,0,0,,,0.0,0.0,77.0,14.6,1124.0,6,0,7.0,,
2023,30,TAM,NFL,WR,17,17,136,79,1255,15.9,13,54,53.7,75,4.6,73.8,58.1,9.2,0,0,0,0,,,0.0,0.0,79.0,15.9,1255.0,13,0,11.0,PBAP-2,
2024,31,TAM,NFL,WR,3,3,15,10,120,12.0,2,7,66.7,24,3.3,40.0,66.7,8.0,0,0,0,0,,,0.0,0.0,10.0,12.0,120.0,2,0,,,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,157,156,1336,772,11800,15.3,96,593,54.0,75,4.9,75.2,57.8,8.8,1,10,0,1,100.0,10.0,10.0,0.1,0.0,773.0,15.3,11810,96,4.0,92,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,145,84,1278,15.3,10,64,54.0,75,4.9,75.2,57.8,8.8,0,1,0,0,100.0,10.0,10.0,0.1,0.0,84.0,1.7,1279,10,0.0,,
